"","RAV188","RAV579","RAV832","RAV1166","RAV220","RAV833","RAV1302","RAV324","RAV1008","RAV1575","RAV868","RAV61","RAV834","RAV517","RAV192"
"TCGA.AZ.6600",0.551287964740496,-0.606035907862394,0.0430833382580337,-0.184310364420639,0.447547399983809,-0.352104692912578,0.157512295795501,-0.13617241185636,0.563743111859086,0.6561876973595,-0.199153561977761,-0.856104703449552,0.0325538535099789,-0.298597563334789,0.0937355727592386
"TCGA.AZ.4315",-0.303318203195099,-0.148389706709485,0.75270132471531,0.580745567872291,-0.778189325594811,0.909197489096424,0.0479966282323592,0.94144292953857,-0.836504745735759,-0.544692801027502,1.18046338246078,0.4439980178138,0.53165862890794,-1.88025293443532,0.298629553696323
"TCGA.G4.6314",1.59835281381489,-1.05636385113088,0.370800710107934,-0.172917387098772,0.748533945503871,-1.70464159993095,-0.690272173138361,-1.37350528064454,1.14673782294165,0.852996260836205,-1.09793217940308,-1.0228281118325,-1.57474075775917,0.617497399211642,-0.147854825761281
"TCGA.D5.6929",0.291482379530174,-0.296852255412967,0.972782158375393,0.503745210146324,-0.0341396526755282,-0.496422904944271,-0.834673540600948,-0.250214174653565,-0.197580600684348,-0.243234838902238,-0.196917815575797,0.336931983709518,-1.06250930584745,-0.340080904258283,-0.369615422931756
"TCGA.DM.A28E",-1.62951981511932,1.33354052240295,0.270689156272936,1.40076385034602,-1.49551403709241,0.97228426306392,0.711027485383958,1.17334273478179,-1.60336253874079,-1.6874457847116,1.11569668389977,1.68445478055846,-0.707812072563829,0.467057287279249,1.22667360836863
"TCGA.A6.2683",-0.866297073572942,1.65269519658831,-2.6923900595049,-1.64333442901135,1.26847373323365,1.05699059412733,2.3967981280458,-0.361625840135243,0.967259638915697,0.828964683550144,-0.429601342641455,-1.17350535441934,0.856257588479566,1.06262360491429,-1.04709964005883
"TCGA.CM.6680",0.454044184276897,-0.580754088106444,0.0212093582437141,-0.40630436316862,0.33874541908125,-0.111311533250985,-0.308947021316302,-0.366441656398933,0.698406111987942,0.695041379479571,-0.254285924491822,-0.489815940517949,-0.0105615063791704,0.230323349829769,-0.0501169041737968
"TCGA.CM.6678",-0.17833313515075,0.366040449802233,0.300837042714134,0.367075725005217,-0.312370856045064,0.221175536243008,0.564799433802876,0.183766246259313,0.0998722519877218,-0.195465597454524,0.39783393867357,0.124092626612884,-0.788021378647962,0.787117714408425,0.931424012510661
"TCGA.F4.6703",3.01106062640337,-3.29244421864727,1.06550537549319,-1.54996202405474,1.70496678630833,-2.12408660425312,-1.88882547028863,-1.81123473291256,1.84973381681799,2.72390058134191,-1.4954816541854,-2.06697507081299,-0.0479606646713354,-1.44655459162108,-1.8783211202866
"TCGA.CM.6170",0.188219304526094,-0.290583029133574,0.207979991391199,0.299950046185102,0.0521181117450408,-0.372877768322419,-0.0312090240403642,-0.0325273778020882,0.20806272887015,0.328191944266637,0.0493710201135739,-0.253525966922774,-1.07351688593371,-0.108011067674547,-0.217176456629154
"TCGA.AZ.4323",2.77152225768085,-2.04459798861216,0.186891731374788,-1.29791605905367,1.63863684107021,-1.54081447041247,-2.580184206241,-3.12068443389645,2.03116936480008,1.36260929231419,-2.02978578190316,-1.70888104209871,-0.605286085517893,0.972066643539181,-0.861243355972424
"TCGA.AZ.5403",0.284506256136988,-0.149471090071952,0.330184607809476,0.268915998820736,0.189124455392293,-0.174152671510907,0.274254572605505,0.0923658623566082,0.378209601441084,0.161953861376368,0.113673394603397,-0.358794802094309,-0.973680933942504,-0.229561416569014,-0.130269423670651
"TCGA.A6.6142",0.820710187212269,-0.768002344927312,1.0963285433818,0.229071097136134,0.258198632417589,-1.51172615427069,-0.932801573863672,-0.524256172621894,0.597485962262528,0.296933096519362,-0.925302136500285,-0.0104248316876395,-1.20924156789583,0.378939855347597,-0.443496676609079
"TCGA.F4.6806",-0.450018433618128,0.189504703062406,0.206901433091867,-0.25762987875057,-0.160769641222909,0.0372406415575189,-0.752299284723421,0.0740000028168953,-0.197017248439314,-0.360932743008399,-0.49765197986008,0.866115963506644,-0.300519063943054,0.46436637454664,-0.281007495405289
"TCGA.CA.6719",1.14410178631439,-0.926776375553884,0.495390029291044,0.00290742183042217,0.459244311290031,-1.37588763353382,-0.800230051860242,-0.776316900853653,0.787215026293833,0.635551411790326,-0.854038446775716,-0.589797980540076,-1.25875593888641,0.180462139182008,-0.292636842776854
"TCGA.AY.5543",-0.760598022701462,0.120367605769528,0.337498373915042,0.819128126036162,-0.809075687119133,1.49235138390975,0.450915812917474,1.22697966991599,-0.816304907852183,-0.500444679792575,1.23019166154085,0.378977170168969,0.424050148208633,-1.24024411007423,0.50903058101581
"TCGA.AA.3520",-0.695849460046833,1.52025928919786,-2.86552978530002,-1.74176603874979,1.54859872371867,0.999418970989037,2.43954866914319,-0.382530847628668,1.27861574327073,1.16744928571566,-0.50653603964677,-1.56890690810917,0.877696643579157,0.947908413796672,-0.901972876716506
"TCGA.A6.5667",0.300241265808146,0.0271226802071851,0.158367640356952,0.488830801500948,-0.0859028408909637,-0.634035967259537,0.256609343524196,-0.200779143880646,0.229300301578772,-0.120943167140613,-0.0719407758835592,-0.164870712448328,-1.09466642600152,0.51156679329913,0.406945868730727
"TCGA.D5.6534",2.22320303889206,-2.10286552076618,-0.219158581255963,-1.61843652879516,2.16023992407821,-1.8341875691215,-0.726008220102846,-1.57348869021832,2.18392574777725,2.65034628326635,-1.53050766779272,-2.42707365441888,-0.517518595538719,-0.471815816098092,-1.71982532333675
"TCGA.CM.6165",0.263522900347835,-0.0393653414096017,-0.328272849474697,-0.430960207754058,0.348333563446503,-0.678645457144914,-0.142825676225658,-0.670011742929175,0.632289998282367,0.472918209479981,-0.33182613724579,-0.401571968865912,-0.709323350867857,0.547874390396339,-0.726805642860211
"TCGA.F4.6461",0.717652689581951,-0.670392620011281,-0.0890793048572491,-0.74438758536211,0.418630398452827,-0.809462123923889,-1.22344528629683,-0.913920101747929,0.663087433730323,0.598090411827377,-0.823419536773207,-0.215068014993175,0.170867522081338,0.215217941848199,-0.790125209754909
"TCGA.DM.A28G",-0.837464913379185,0.978314185341549,-0.101213343163186,0.483514127364171,-0.696355530754631,0.796507887950465,0.562565985588434,0.55849555359719,-0.405213323731092,-0.70357992257889,0.587467499730784,0.652693326902698,-0.332103703585962,1.02538255848995,0.802024461576143
"TCGA.D5.5539",0.482367585343785,-0.418891804391122,-0.0754379284988365,-0.388098455637847,0.307812865697661,-0.210794200253769,-0.192802085253489,-0.281378750592565,0.68749613673648,0.540563816903568,-0.210624955460456,-0.590305678997672,-0.308960606774149,0.201747417436529,-0.213699662226699
"TCGA.AD.6899",1.01111845080568,-0.948318811470355,0.115185622560643,-0.362097463835298,0.779296274758017,-0.518945472429546,0.131890836921467,-0.527268755035124,1.09790382969606,1.31116608765326,-0.0754525837937345,-1.39616298871684,-0.544790738824006,-0.215735000233683,-0.0503580913060634
"TCGA.AA.3685",-0.0891470018574252,-0.284224679724899,0.734902372031974,0.321580419825935,0.0419334902950335,0.791708034479765,0.0261926748906573,0.435253842098644,-0.407043231998645,-0.120656554411264,0.529492817663462,-0.157290153018654,0.0974524040924509,-1.53520408339142,-0.315910563038438
"TCGA.CM.5344",0.344085829649349,-0.139308297335834,0.29488483128195,0.248343183720979,0.0120565546015564,-0.759096490459917,-0.383450241772923,-0.220476883184721,0.2601553102478,-0.00153510168869598,-0.271255792991,0.0164993911438247,-0.998055424776435,0.0840568538919846,0.275744756589105
"TCGA.CA.5796",-1.65451651776086,1.25696913255623,-1.26592330559946,-0.31318170802441,-0.693406522201141,1.44334770944953,0.375954518557461,1.01152083674708,-0.699146073853694,-0.832992324641207,0.330957426811922,1.34064489626304,1.72213069873303,0.203661035074451,-0.543068527288964
"TCGA.CM.4751",0.268765436773459,-0.502975374016896,-0.351616614992642,-0.419284359678186,0.279104272030931,0.122611562045444,-0.119488493694362,0.201211824516627,0.260721863249146,0.544139993363738,-0.163004984473918,-0.418909933260872,0.949566941836184,-0.379300489137312,-0.0423739795068625
